tissue,n,rmse,mae,r2,spearman_r,spearman_p
Esophagus - Mucosa,153,263.2732859476126,204.01607745986732,0.05504076622150289,0.33935781324486536,1.7767269208977055e-05
Liver,118,272.26293119051905,218.876086468313,0.0761816668532197,0.3051032538582545,0.0007809412011099224
Artery - Coronary,66,278.72684103656667,220.22756138529274,0.04873706361938113,0.2878704062701171,0.01908650284805032
Whole Blood,260,253.93947463890495,203.4460937240876,0.01757571128968749,0.2555102864363807,3.0520658128821574e-05
Vagina,40,247.04449601180937,201.87126247784758,0.029038741309262206,0.2536585365853659,0.1142534342866883
Esophagus - Gastroesophageal Junction,99,276.7678680253739,220.3535836853371,0.018601707784896226,0.22604006262509913,0.0244674601182877
Ovary,50,252.10695520164916,208.46731588228903,0.019741757754556,0.22257437159768603,0.12028194437548981
Brain - Cortex,187,273.87611334390243,223.04758916275867,-0.15404457956642292,0.18344228758742384,0.011968275821938738
Artery - Aorta,130,258.5480538164966,200.70561565678284,0.042127459040587345,0.1761931293987237,0.04493907339863731
Brain - Cerebellum,183,274.96165634018854,220.0681448857464,-0.1081470655896013,0.17105599390832732,0.020599943894607942
Colon - Sigmoid,113,280.95706632290785,229.740167129476,-0.0288497796338536,0.16586161082005046,0.07913764593992913
Cells - EBV-transformed lymphocytes,35,221.17690632550656,177.57319849235924,-0.09153572657938391,0.1627450980392157,0.3502553045497837
Esophagus - Muscularis,125,287.96898985054486,230.50073295886344,-0.020016169321728006,0.14980168788674242,0.09542880342822423
Kidney - Cortex,49,297.05824733368456,244.4333506397515,-0.04759097926360911,0.14531353659406943,0.31913538816969744
Nerve - Tibial,237,298.2633888169976,243.87752226382273,-0.036538155263192706,0.13204962706767634,0.04225169208884351
Testis,135,289.46927249864086,221.1338097028013,-0.09744789207160953,0.13073730112124485,0.13068667576897033
Adipose - Visceral (Omentum),188,272.997554121122,217.20887977250536,-0.09926177064534802,0.12474732630083733,0.08806191731287558
Lung,228,278.26789170008635,227.20876230787098,-0.048165543295621394,0.12460326480506184,0.060319077755699536
Skin - Not Sun Exposed (Suprapubic),236,281.91005304120347,225.90326015013463,-0.11316188000461369,0.12240819408594523,0.06044239874793121
Brain - Amygdala,116,255.55845885767513,208.7366374067271,-0.09497615014118099,0.10338530857265778,0.26942074370931046
Uterus,34,270.0578571173145,214.83283659193035,-0.09803049382987394,0.0985485103132162,0.5792431104724366
Artery - Tibial,234,296.37842987990655,240.51065195095876,-0.03302507844262803,0.09334709482423037,0.15462049861412092
Heart - Left Ventricle,151,277.9070820260431,229.6860755670204,-0.11241752872175415,0.09246540129271029,0.25880801011236126
Thyroid,235,290.7058560860625,230.95501447920427,-0.11610754724522843,0.09150760729707347,0.1620408826354095
Adrenal Gland,53,307.3752923620328,241.36273689026893,-0.07993844730770006,0.08426060312852765,0.5485945591744807
Breast - Mammary Tissue,159,307.289824518726,247.52073711384577,-0.1398001815317904,0.06453953113634454,0.4189556263957551
Brain - Caudate (basal ganglia),186,275.09215534375863,217.85754819347756,-0.13125105414530136,0.061393313040042995,0.40516384450242987
Brain - Putamen (basal ganglia),154,259.8132502744135,208.77967109693967,-0.09025764253631618,0.06139102835110325,0.4494397281006308
Muscle - Skeletal,303,300.1749487162273,239.46025893214352,-0.11569554425259976,0.04872182533498119,0.39805930140553575
Heart - Atrial Appendage,177,275.790760992459,225.61974197727915,-0.14294327861573541,0.043392543348722855,0.5663196213647852
Brain - Hippocampus,155,281.9880999574782,228.9089111416804,-0.12410626705996242,0.0406666376717263,0.6153825155453222
Adipose - Subcutaneous,254,307.89848069850495,247.55770770604443,-0.09607272647095333,0.030618680570912347,0.6271880883824514
Skin - Sun Exposed (Lower leg),280,310.07853127088055,248.33130542971304,-0.18370538636873723,0.02437596749713571,0.6846517658574535
Brain - Spinal cord (cervical c-1),123,264.125639767743,219.97979110700058,-0.12405723071986752,0.0095608922445566,0.9164113982340739
Brain - Cerebellar Hemisphere,159,282.34668814182345,226.85666266032229,-0.17936325114270657,-0.005615709059046128,0.9439921064728334
Stomach,46,309.3156233852091,254.09737036128755,-0.10179517451678599,-0.007277661294216431,0.961714892081456
Brain - Nucleus accumbens (basal ganglia),183,278.2032504794084,220.2127249682276,-0.2384186368940029,-0.02616096631372358,0.7251876210791703
Brain - Frontal Cortex (BA9),160,249.1651447627687,200.1386174105505,-0.15406702604477562,-0.03581319479790202,0.6530007256599188
Minor Salivary Gland,46,330.52640634129466,269.6902655932485,-0.25464112607407663,-0.05316229303461938,0.7256711853821419
Pituitary,224,295.3172600124149,236.54759938740182,-0.31668131893235363,-0.05521708039631314,0.4108392214334238
Pancreas,40,315.57442286553066,252.6340234197492,-0.10530204709930913,-0.0577861163227017,0.723205050701173
Prostate,83,313.66220630069455,246.24795643015005,-0.16929436768999606,-0.05897169484912792,0.5964093501327399
Cells - Cultured fibroblasts,175,357.2067366098128,293.1481966787197,-0.26296885550950555,-0.06787921264657645,0.3720969155517913
Colon - Transverse,73,296.3627053107416,239.04226792798627,-0.1119766394342907,-0.0696820573027703,0.5580094711975502
Brain - Hypothalamus,157,279.6681244169623,229.02547020605502,-0.24744006387642337,-0.13616386554247645,0.0890512984046917
Small Intestine - Terminal Ileum,11,509.9642114897976,432.6237239532407,-0.25451533739178767,-0.13636363636363638,0.6893090205863619
Brain - Anterior cingulate cortex (BA24),136,302.98082100806727,246.95567982057412,-0.2718243652834904,-0.14349814297302158,0.09558357765227266
Brain - Substantia nigra,116,293.40070980105037,230.99006856234885,-0.34455145000297294,-0.24479620189129309,0.008087245225596316
Spleen,21,369.5003316243543,294.1515087338806,-0.25827757234379023,-0.34285714285714286,0.12813141007326184
